"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Return.On.Assets","Book.to.Market.Ratio","Earning.Per.Share","Sales.Per.Share","Price.to.Earning.Ratio","Return.On.Assets.t","Return.On.Assets.out","Earning.Per.Share.t","Earning.Per.Share.out","Sales.Per.Share.t","Sales.Per.Share.out","Price.to.Earning.Ratio.t","Price.to.Earning.Ratio.out","Book.to.Market.Ratio.t","Book.to.Market.Ratio.out"
"3251","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2014-03-31",2013,0.195416375087474,0.33731556971792,0.0255591054313099,11.4217252396166,897.5275,1.60596503255373,"False",3.13608409023402,"False",2.43551726458795,"False",9.42445041021234,"False",-1.08673637812834,"False"
"3252","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2015-03-31",2014,0.350414836505613,0.204351694920958,2.76898734177215,14.2879746835443,16.9791314285714,1.63659853636832,"False",3.24870640949723,"False",2.65941825226417,"False",9.35071440636537,"False",-1.58791277480043,"False"
"3253","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2016-03-31",2015,0.291489361702128,0.152055162532462,3.55692307692308,13.5261538461538,19.3200692041522,1.62506294426115,"False",3.27883896047737,"False",2.60462513319377,"False",9.35091782092259,"False",-1.8835119125745,"False"
"3254","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2017-03-31",2016,0.304483026690853,0.156209120150207,2.93030303030303,14.6818181818182,26.8777662874871,1.6276181203122,"False",3.25494986304835,"False",2.68660986986434,"False",9.3515742607444,"False",-1.85655965563567,"False"
"3255","EA",372651,"ELECTRONIC ARTS INC.",101003,"Technology","Application Software","2018-03-31",2017,0.29997670083877,0.13928952942874,3.32165605095541,16.4012738853503,31.6288015340364,1.62673270041686,"False",3.26993647835412,"False",2.79735900774953,"False",9.35198670151568,"False",-1.97120056664428,"False"
"3256","EB",909936,"Eventbrite, Inc.",101003,"Technology","Application Software","2018-12-31",2018,0.0566028266760985,0.397727022375941,-1.70692594565796,7.76800745871071,-16.2924467055776,1.57771030696518,"False",3.0578186998325,"False",2.05001369117274,"False",9.34781880780691,"False",-0.921989382443768,"False"
"3275","EBIX",147655,"EBIX INC",101003,"Technology","Application Software","2011-12-31",2011,0.230610775763531,0.349821373813156,1.74565286507374,4.13238279243806,12.660019894085,1.61300357163622,"False",3.20816526589864,"False",1.41885418792439,"False",9.35033899080579,"False",-1.05033261531078,"False"
"3276","EBIX",147655,"EBIX INC",101003,"Technology","Application Software","2012-12-31",2012,0.205023348666979,0.582515722871304,1.80483375959079,5.09897698209719,8.93157051963327,1.60789125528424,"False",3.21055513435189,"False",1.62903992786342,"False",9.35001480199769,"False",-0.540399101852819,"False"
"3277","EBIX",147655,"EBIX INC",101003,"Technology","Application Software","2013-12-31",2013,0.193182776537194,0.735762621629755,1.53392681538223,5.29760364370374,9.58976650808112,1.605516658238,"False",3.19956817895325,"False",1.66725457561334,"False",9.3500720398023,"False",-0.306847737235194,"False"
"3278","EBIX",147655,"EBIX INC",101003,"Technology","Application Software","2014-12-31",2014,0.185049605004485,0.668762598646201,1.67082018927445,5.63409568874869,10.1686585480978,1.60388229812355,"False",3.20513514037343,"False",1.7288366534684,"False",9.35012237849754,"False",-0.402326141852251,"False"
"3279","EBIX",147655,"EBIX INC",101003,"Technology","Application Software","2015-12-31",2015,0.222661907220384,0.357365995790699,2.27881722586745,7.60671613993868,14.3890434159406,1.61141820038756,"False",3.229492437931,"False",2.02903155968052,"False",9.35048929380113,"False",-1.0289948240661,"False"
"3280","EBIX",147655,"EBIX INC",101003,"Technology","Application Software","2016-12-31",2016,0.217308757021729,0.233959894532538,2.85570398320299,9.0768949882847,19.9775608170746,1.61034911713983,"False",3.2520674761995,"False",2.20573217248833,"False",9.35097494586856,"False",-1.45260556920012,"False"
"3281","EBIX",147655,"EBIX INC",101003,"Technology","Application Software","2017-12-31",2017,0.208076635223488,0.212337379411061,3.17216810113812,11.4748573410259,24.9829130970602,1.60850267085121,"False",3.26423841138755,"False",2.44015832371472,"False",9.35140971971958,"False",-1.54957885694851,"False"
"3282","EBIX",147655,"EBIX INC",101003,"Technology","Application Software","2018-12-31",2018,0.192496711561585,0.405664449304272,2.95360563201624,15.7869601065517,14.4095066513491,1.60537889665086,"False",3.25584853769292,"False",2.75918428956544,"False",9.35049107252286,"False",-0.90222894064905,"False"
"3335","EGAN",233349,"EGAIN Corp",101003,"Technology","Application Software","2012-06-30",2012,0.377804816948789,0.0365179187161184,-0.157096469234247,1.78239960540918,-28.644819466248,1.64191558844525,"False",3.12811556208444,"False",0.57796054936906,"False",9.34674165295218,"False",-3.30995221512805,"False"
"3336","EGAN",233349,"EGAIN Corp",101003,"Technology","Application Software","2013-06-30",2013,0.413336089672914,0.0227399179251792,0.0262179462608762,2.25723484993676,390.57216374269,1.64877120243219,"False",3.13611271818558,"False",0.814140546448189,"False",9.38266497913388,"False",-3.78363339993718,"False"
